clip,preictal
Dog_2_test_segment_0759.mat,0.83
Dog_2_test_segment_0760.mat,0.83
Dog_2_test_segment_0761.mat,0.83
Dog_2_test_segment_0762.mat,0.83
Dog_2_test_segment_0763.mat,0.83
Dog_2_test_segment_0764.mat,0.83
Dog_2_test_segment_0765.mat,0.83
Dog_2_test_segment_0766.mat,0.83
Dog_2_test_segment_0767.mat,0.83
Dog_2_test_segment_0768.mat,0.83
Dog_2_test_segment_0769.mat,0.83
Dog_2_test_segment_0770.mat,0.83
Dog_2_test_segment_0771.mat,0.83
Dog_2_test_segment_0772.mat,0.83
Dog_2_test_segment_0773.mat,0.83
Dog_2_test_segment_0774.mat,0.83
Dog_2_test_segment_0775.mat,0.83
Dog_2_test_segment_0776.mat,0.83
Dog_2_test_segment_0777.mat,0.83
Dog_2_test_segment_0778.mat,0.83
Dog_2_test_segment_0779.mat,0.83
Dog_2_test_segment_0780.mat,0.83
Dog_2_test_segment_0781.mat,0.83
Dog_2_test_segment_0782.mat,0.83
Dog_2_test_segment_0783.mat,0.83
Dog_2_test_segment_0784.mat,0.83
Dog_2_test_segment_0785.mat,0.83
Dog_2_test_segment_0786.mat,0.83
Dog_2_test_segment_0787.mat,0.83
Dog_2_test_segment_0788.mat,0.83
Dog_2_test_segment_0789.mat,0.83
Dog_2_test_segment_0790.mat,0.83
Dog_2_test_segment_0791.mat,0.83
Dog_2_test_segment_0792.mat,0.83
Dog_2_test_segment_0793.mat,0.83
Dog_2_test_segment_0794.mat,0.83
Dog_2_test_segment_0795.mat,0.83
Dog_2_test_segment_0796.mat,0.83
Dog_2_test_segment_0797.mat,0.83
Dog_2_test_segment_0798.mat,0.83
Dog_2_test_segment_0799.mat,0.83
Dog_2_test_segment_0800.mat,0.83
Dog_2_test_segment_0801.mat,0.83
Dog_2_test_segment_0802.mat,0.83
Dog_2_test_segment_0803.mat,0.83
Dog_2_test_segment_0804.mat,0.83
Dog_2_test_segment_0805.mat,0.83
Dog_2_test_segment_0806.mat,0.83
Dog_2_test_segment_0807.mat,0.83
Dog_2_test_segment_0808.mat,0.83
Dog_2_test_segment_0809.mat,0.83
Dog_2_test_segment_0810.mat,0.83
Dog_2_test_segment_0811.mat,0.83
Dog_2_test_segment_0812.mat,0.83
Dog_2_test_segment_0813.mat,0.83
Dog_2_test_segment_0814.mat,0.83
Dog_2_test_segment_0815.mat,0.83
Dog_2_test_segment_0816.mat,0.83
Dog_2_test_segment_0817.mat,0.83
Dog_2_test_segment_0818.mat,0.83
Dog_2_test_segment_0819.mat,0.83
Dog_2_test_segment_0820.mat,0.83
Dog_2_test_segment_0821.mat,0.83
Dog_2_test_segment_0822.mat,0.83
Dog_2_test_segment_0823.mat,0.83
Dog_2_test_segment_0824.mat,0.83
Dog_2_test_segment_0825.mat,0.83
Dog_2_test_segment_0826.mat,0.83
Dog_2_test_segment_0827.mat,0.83
Dog_2_test_segment_0828.mat,0.83
Dog_2_test_segment_0829.mat,0.83
Dog_2_test_segment_0830.mat,0.83
Dog_2_test_segment_0831.mat,0.83
Dog_2_test_segment_0832.mat,0.83
Dog_2_test_segment_0833.mat,0.83
Dog_2_test_segment_0834.mat,0.83
Dog_2_test_segment_0835.mat,0.83
Dog_2_test_segment_0836.mat,0.83
Dog_2_test_segment_0837.mat,0.83
Dog_2_test_segment_0838.mat,0.83
Dog_2_test_segment_0839.mat,0.83
Dog_2_test_segment_0840.mat,0.83
Dog_2_test_segment_0841.mat,0.83
Dog_2_test_segment_0842.mat,0.83
Dog_2_test_segment_0843.mat,0.83
Dog_2_test_segment_0844.mat,0.83
Dog_2_test_segment_0845.mat,0.83
Dog_2_test_segment_0846.mat,0.83
Dog_2_test_segment_0847.mat,0.83
Dog_2_test_segment_0848.mat,0.83
Dog_2_test_segment_0849.mat,0.83
Dog_2_test_segment_0850.mat,0.83
Dog_2_test_segment_0851.mat,0.83
Dog_2_test_segment_0852.mat,0.83
Dog_2_test_segment_0853.mat,0.83
Dog_2_test_segment_0854.mat,0.83
Dog_2_test_segment_0855.mat,0.83
Dog_2_test_segment_0856.mat,0.83
Dog_2_test_segment_0857.mat,0.83
Dog_2_test_segment_0858.mat,0.83
Dog_2_test_segment_0859.mat,0.83
Dog_2_test_segment_0860.mat,0.83
Dog_2_test_segment_0861.mat,0.83
Dog_2_test_segment_0862.mat,0.83
Dog_2_test_segment_0863.mat,0.83
Dog_2_test_segment_0864.mat,0.83
Dog_2_test_segment_0865.mat,0.83
Dog_2_test_segment_0866.mat,0.83
Dog_2_test_segment_0867.mat,0.83
Dog_2_test_segment_0868.mat,0.83
Dog_2_test_segment_0869.mat,0.83
Dog_2_test_segment_0870.mat,0.83
Dog_2_test_segment_0871.mat,0.83
Dog_2_test_segment_0872.mat,0.83
Dog_2_test_segment_0873.mat,0.83
Dog_2_test_segment_0874.mat,0.83
Dog_2_test_segment_0875.mat,0.83
Dog_2_test_segment_0876.mat,0.83
Dog_2_test_segment_0877.mat,0.83
Dog_2_test_segment_0878.mat,0.83
Dog_2_test_segment_0879.mat,0.83
Dog_2_test_segment_0880.mat,0.83
Dog_2_test_segment_0881.mat,0.83
Dog_2_test_segment_0882.mat,0.83
Dog_2_test_segment_0883.mat,0.83
Dog_2_test_segment_0884.mat,0.83
Dog_2_test_segment_0885.mat,0.83
Dog_2_test_segment_0886.mat,0.83
Dog_2_test_segment_0887.mat,0.83
Dog_2_test_segment_0888.mat,0.83
Dog_2_test_segment_0889.mat,0.83
Dog_2_test_segment_0890.mat,0.83
Dog_2_test_segment_0891.mat,0.83
Dog_2_test_segment_0892.mat,0.83
Dog_2_test_segment_0893.mat,0.83
Dog_2_test_segment_0894.mat,0.83
Dog_2_test_segment_0895.mat,0.83
Dog_2_test_segment_0896.mat,0.83
Dog_2_test_segment_0897.mat,0.83
Dog_2_test_segment_0898.mat,0.83
Dog_2_test_segment_0899.mat,0.83
Dog_2_test_segment_0900.mat,0.83
Dog_2_test_segment_0901.mat,0.83
Dog_2_test_segment_0902.mat,0.83
Dog_2_test_segment_0903.mat,0.83
Dog_2_test_segment_0904.mat,0.83
Dog_2_test_segment_0905.mat,0.83
Dog_2_test_segment_0906.mat,0.83
Dog_2_test_segment_0907.mat,0.83
Dog_2_test_segment_0908.mat,0.83
Dog_2_test_segment_0909.mat,0.83
Dog_2_test_segment_0910.mat,0.83
Dog_2_test_segment_0911.mat,0.83
Dog_2_test_segment_0912.mat,0.83
Dog_2_test_segment_0913.mat,0.83
Dog_2_test_segment_0914.mat,0.83
Dog_2_test_segment_0915.mat,0.83
Dog_2_test_segment_0916.mat,0.83
Dog_2_test_segment_0917.mat,0.83
Dog_2_test_segment_0918.mat,0.83
Dog_2_test_segment_0919.mat,0.83
Dog_2_test_segment_0920.mat,0.83
Dog_2_test_segment_0921.mat,0.83
Dog_2_test_segment_0922.mat,0.83
Dog_2_test_segment_0923.mat,0.83
Dog_2_test_segment_0924.mat,0.83
Dog_2_test_segment_0925.mat,0.83
Dog_2_test_segment_0926.mat,0.83
Dog_2_test_segment_0927.mat,0.83
Dog_2_test_segment_0928.mat,0.83
Dog_2_test_segment_0929.mat,0.83
Dog_2_test_segment_0930.mat,0.83
Dog_2_test_segment_0931.mat,0.83
Dog_2_test_segment_0932.mat,0.83
Dog_2_test_segment_0933.mat,0.83
Dog_2_test_segment_0934.mat,0.83
Dog_2_test_segment_0935.mat,0.83
Dog_2_test_segment_0936.mat,0.83
Dog_2_test_segment_0937.mat,0.83
Dog_2_test_segment_0938.mat,0.83
Dog_2_test_segment_0939.mat,0.83
Dog_2_test_segment_0940.mat,0.83
Dog_2_test_segment_0941.mat,0.83
Dog_2_test_segment_0942.mat,0.83
Dog_2_test_segment_0943.mat,0.83
Dog_2_test_segment_0944.mat,0.83
Dog_2_test_segment_0945.mat,0.83
Dog_2_test_segment_0946.mat,0.83
Dog_2_test_segment_0947.mat,0.83
Dog_2_test_segment_0948.mat,0.83
Dog_2_test_segment_0949.mat,0.83
Dog_2_test_segment_0950.mat,0.83
Dog_2_test_segment_0951.mat,0.83
Dog_2_test_segment_0952.mat,0.83
Dog_2_test_segment_0953.mat,0.83
Dog_2_test_segment_0954.mat,0.83
Dog_2_test_segment_0955.mat,0.83
Dog_2_test_segment_0956.mat,0.83
Dog_2_test_segment_0957.mat,0.83
Dog_2_test_segment_0958.mat,0.83
Dog_2_test_segment_0959.mat,0.83
Dog_2_test_segment_0960.mat,0.83
Dog_2_test_segment_0961.mat,0.83
Dog_2_test_segment_0962.mat,0.83
Dog_2_test_segment_0963.mat,0.83
Dog_2_test_segment_0964.mat,0.83
Dog_2_test_segment_0965.mat,0.83
Dog_2_test_segment_0966.mat,0.83
Dog_2_test_segment_0967.mat,0.83
Dog_2_test_segment_0968.mat,0.83
Dog_2_test_segment_0969.mat,0.83
Dog_2_test_segment_0970.mat,0.83
Dog_2_test_segment_0971.mat,0.83
Dog_2_test_segment_0972.mat,0.83
Dog_2_test_segment_0973.mat,0.83
Dog_2_test_segment_0974.mat,0.83
Dog_2_test_segment_0975.mat,0.83
Dog_2_test_segment_0976.mat,0.83
Dog_2_test_segment_0977.mat,0.83
Dog_2_test_segment_0978.mat,0.83
Dog_2_test_segment_0979.mat,0.83
Dog_2_test_segment_0980.mat,0.83
Dog_2_test_segment_0981.mat,0.83
Dog_2_test_segment_0982.mat,0.83
Dog_2_test_segment_0983.mat,0.83
Dog_2_test_segment_0984.mat,0.83
Dog_2_test_segment_0985.mat,0.83
Dog_2_test_segment_0986.mat,0.83
Dog_2_test_segment_0987.mat,0.83
Dog_2_test_segment_0988.mat,0.83
Dog_2_test_segment_0989.mat,0.83
Dog_2_test_segment_0990.mat,0.83
Dog_2_test_segment_0991.mat,0.83
Dog_2_test_segment_0992.mat,0.83
Dog_2_test_segment_0993.mat,0.83
Dog_2_test_segment_0994.mat,0.83
Dog_2_test_segment_0995.mat,0.83
Dog_2_test_segment_0996.mat,0.83
Dog_2_test_segment_0997.mat,0.83
Dog_2_test_segment_0998.mat,0.83
Dog_2_test_segment_0999.mat,0.83
Dog_2_test_segment_1000.mat,0.83
Dog_3_test_segment_0001.mat,0.83
Dog_3_test_segment_0002.mat,0.83
Dog_3_test_segment_0003.mat,0.83
Dog_3_test_segment_0004.mat,0.83
Dog_3_test_segment_0005.mat,0.83
Dog_3_test_segment_0006.mat,0.83
Dog_3_test_segment_0007.mat,0.83
Dog_3_test_segment_0008.mat,0.83
Dog_3_test_segment_0009.mat,0.83
Dog_3_test_segment_0010.mat,0.83
Dog_3_test_segment_0011.mat,0.83
Dog_3_test_segment_0012.mat,0.83
Dog_3_test_segment_0013.mat,0.83
Dog_3_test_segment_0014.mat,0.83
Dog_3_test_segment_0015.mat,0.83
Dog_3_test_segment_0016.mat,0.83
Dog_3_test_segment_0017.mat,0.83
Dog_3_test_segment_0018.mat,0.83
Dog_3_test_segment_0019.mat,0.83
Dog_3_test_segment_0020.mat,0.83
Dog_3_test_segment_0021.mat,0.83
Dog_3_test_segment_0022.mat,0.83
Dog_3_test_segment_0023.mat,0.83
Dog_3_test_segment_0024.mat,0.83
Dog_3_test_segment_0025.mat,0.83
Dog_3_test_segment_0026.mat,0.83
Dog_3_test_segment_0027.mat,0.83
Dog_3_test_segment_0028.mat,0.83
Dog_3_test_segment_0029.mat,0.83
Dog_3_test_segment_0030.mat,0.83
Dog_3_test_segment_0031.mat,0.83
Dog_3_test_segment_0032.mat,0.83
Dog_3_test_segment_0033.mat,0.83
Dog_3_test_segment_0034.mat,0.83
Dog_3_test_segment_0035.mat,0.83
Dog_3_test_segment_0036.mat,0.83
Dog_3_test_segment_0037.mat,0.83
Dog_3_test_segment_0038.mat,0.83
Dog_3_test_segment_0039.mat,0.83
Dog_3_test_segment_0040.mat,0.83
Dog_3_test_segment_0041.mat,0.83
Dog_3_test_segment_0042.mat,0.83
Dog_3_test_segment_0043.mat,0.83
Dog_3_test_segment_0044.mat,0.83
Dog_3_test_segment_0045.mat,0.83
Dog_3_test_segment_0046.mat,0.83
Dog_3_test_segment_0047.mat,0.83
Dog_3_test_segment_0048.mat,0.83
Dog_3_test_segment_0049.mat,0.83
Dog_3_test_segment_0050.mat,0.83
Dog_3_test_segment_0051.mat,0.83
Dog_3_test_segment_0052.mat,0.83
Dog_3_test_segment_0053.mat,0.83
Dog_3_test_segment_0054.mat,0.83
Dog_3_test_segment_0055.mat,0.83
Dog_3_test_segment_0056.mat,0.83
Dog_3_test_segment_0057.mat,0.83
Dog_3_test_segment_0058.mat,0.83
Dog_3_test_segment_0059.mat,0.83
Dog_3_test_segment_0060.mat,0.83
Dog_3_test_segment_0061.mat,0.83
Dog_3_test_segment_0062.mat,0.83
Dog_3_test_segment_0063.mat,0.83
Dog_3_test_segment_0064.mat,0.83
Dog_3_test_segment_0065.mat,0.83
Dog_3_test_segment_0066.mat,0.83
Dog_3_test_segment_0067.mat,0.83
Dog_3_test_segment_0068.mat,0.83
Dog_3_test_segment_0069.mat,0.83
Dog_3_test_segment_0070.mat,0.83
Dog_3_test_segment_0071.mat,0.83
Dog_3_test_segment_0072.mat,0.83
Dog_3_test_segment_0073.mat,0.83
Dog_3_test_segment_0074.mat,0.83
Dog_3_test_segment_0075.mat,0.83
Dog_3_test_segment_0076.mat,0.83
Dog_3_test_segment_0077.mat,0.83
Dog_3_test_segment_0078.mat,0.83
Dog_3_test_segment_0079.mat,0.83
Dog_3_test_segment_0080.mat,0.83
Dog_3_test_segment_0081.mat,0.83
Dog_3_test_segment_0082.mat,0.83
Dog_3_test_segment_0083.mat,0.83
Dog_3_test_segment_0084.mat,0.83
Dog_3_test_segment_0085.mat,0.83
Dog_3_test_segment_0086.mat,0.83
Dog_3_test_segment_0087.mat,0.83
Dog_3_test_segment_0088.mat,0.83
Dog_3_test_segment_0089.mat,0.83
Dog_3_test_segment_0090.mat,0.83
Dog_3_test_segment_0091.mat,0.83
Dog_3_test_segment_0092.mat,0.83
Dog_3_test_segment_0093.mat,0.83
Dog_3_test_segment_0094.mat,0.83
Dog_3_test_segment_0095.mat,0.83
Dog_3_test_segment_0096.mat,0.83
Dog_3_test_segment_0097.mat,0.83
Dog_3_test_segment_0098.mat,0.83
Dog_3_test_segment_0099.mat,0.83
Dog_3_test_segment_0100.mat,0.83
Dog_3_test_segment_0101.mat,0.83
Dog_3_test_segment_0102.mat,0.83
Dog_3_test_segment_0103.mat,0.83
Dog_3_test_segment_0104.mat,0.83
Dog_3_test_segment_0105.mat,0.83
Dog_3_test_segment_0106.mat,0.83
Dog_3_test_segment_0107.mat,0.83
Dog_3_test_segment_0108.mat,0.83
Dog_3_test_segment_0109.mat,0.83
Dog_3_test_segment_0110.mat,0.83
Dog_3_test_segment_0111.mat,0.83
Dog_3_test_segment_0112.mat,0.83
Dog_3_test_segment_0113.mat,0.83
Dog_3_test_segment_0114.mat,0.83
Dog_3_test_segment_0115.mat,0.83
Dog_3_test_segment_0116.mat,0.83
Dog_3_test_segment_0117.mat,0.83
Dog_3_test_segment_0118.mat,0.83
Dog_3_test_segment_0119.mat,0.83
Dog_3_test_segment_0120.mat,0.83
Dog_3_test_segment_0121.mat,0.83
Dog_3_test_segment_0122.mat,0.83
Dog_3_test_segment_0123.mat,0.83
Dog_3_test_segment_0124.mat,0.83
Dog_3_test_segment_0125.mat,0.83
Dog_3_test_segment_0126.mat,0.83
Dog_3_test_segment_0127.mat,0.83
Dog_3_test_segment_0128.mat,0.83
Dog_3_test_segment_0129.mat,0.83
Dog_3_test_segment_0130.mat,0.83
Dog_3_test_segment_0131.mat,0.83
Dog_3_test_segment_0132.mat,0.83
Dog_3_test_segment_0133.mat,0.83
Dog_3_test_segment_0134.mat,0.83
Dog_3_test_segment_0135.mat,0.83
Dog_3_test_segment_0136.mat,0.83
Dog_3_test_segment_0137.mat,0.83
Dog_3_test_segment_0138.mat,0.83
Dog_3_test_segment_0139.mat,0.83
Dog_3_test_segment_0140.mat,0.83
Dog_3_test_segment_0141.mat,0.83
Dog_3_test_segment_0142.mat,0.83
Dog_3_test_segment_0143.mat,0.83
Dog_3_test_segment_0144.mat,0.83
Dog_3_test_segment_0145.mat,0.83
Dog_3_test_segment_0146.mat,0.83
Dog_3_test_segment_0147.mat,0.83
Dog_3_test_segment_0148.mat,0.83
Dog_3_test_segment_0149.mat,0.83
Dog_3_test_segment_0150.mat,0.83
Dog_3_test_segment_0151.mat,0.83
Dog_3_test_segment_0152.mat,0.83
Dog_3_test_segment_0153.mat,0.83
Dog_3_test_segment_0154.mat,0.83
Dog_3_test_segment_0155.mat,0.83
Dog_3_test_segment_0156.mat,0.83
Dog_3_test_segment_0157.mat,0.83
Dog_3_test_segment_0158.mat,0.83
Dog_3_test_segment_0159.mat,0.83
Dog_3_test_segment_0160.mat,0.83
Dog_3_test_segment_0161.mat,0.83
Dog_3_test_segment_0162.mat,0.83
Dog_3_test_segment_0163.mat,0.83
Dog_3_test_segment_0164.mat,0.83
Dog_3_test_segment_0165.mat,0.83
Dog_3_test_segment_0166.mat,0.83
Dog_3_test_segment_0167.mat,0.83
Dog_3_test_segment_0168.mat,0.83
Dog_3_test_segment_0169.mat,0.83
Dog_3_test_segment_0170.mat,0.83
Dog_3_test_segment_0171.mat,0.83
Dog_3_test_segment_0172.mat,0.83
Dog_3_test_segment_0173.mat,0.83
Dog_3_test_segment_0174.mat,0.83
Dog_3_test_segment_0175.mat,0.83
Dog_3_test_segment_0176.mat,0.83
Dog_3_test_segment_0177.mat,0.83
Dog_3_test_segment_0178.mat,0.83
Dog_3_test_segment_0179.mat,0.83
Dog_3_test_segment_0180.mat,0.83
Dog_3_test_segment_0181.mat,0.83
Dog_3_test_segment_0182.mat,0.83
Dog_3_test_segment_0183.mat,0.83
Dog_3_test_segment_0184.mat,0.83
Dog_3_test_segment_0185.mat,0.83
Dog_3_test_segment_0186.mat,0.83
Dog_3_test_segment_0187.mat,0.83
Dog_3_test_segment_0188.mat,0.83
Dog_3_test_segment_0189.mat,0.83
Dog_3_test_segment_0190.mat,0.83
Dog_3_test_segment_0191.mat,0.83
Dog_3_test_segment_0192.mat,0.83
Dog_3_test_segment_0193.mat,0.83
Dog_3_test_segment_0194.mat,0.83
Dog_3_test_segment_0195.mat,0.83
Dog_3_test_segment_0196.mat,0.83
Dog_3_test_segment_0197.mat,0.83
Dog_3_test_segment_0198.mat,0.83
Dog_3_test_segment_0199.mat,0.83
Dog_3_test_segment_0200.mat,0.83
Dog_3_test_segment_0201.mat,0.83
Dog_3_test_segment_0202.mat,0.83
Dog_3_test_segment_0203.mat,0.83
Dog_3_test_segment_0204.mat,0.83
Dog_3_test_segment_0205.mat,0.83
Dog_3_test_segment_0206.mat,0.83
Dog_3_test_segment_0207.mat,0.83
Dog_3_test_segment_0208.mat,0.83
Dog_3_test_segment_0209.mat,0.83
Dog_3_test_segment_0210.mat,0.83
Dog_3_test_segment_0211.mat,0.83
Dog_3_test_segment_0212.mat,0.83
Dog_3_test_segment_0213.mat,0.83
Dog_3_test_segment_0214.mat,0.83
Dog_3_test_segment_0215.mat,0.83
Dog_3_test_segment_0216.mat,0.83
Dog_3_test_segment_0217.mat,0.83
Dog_3_test_segment_0218.mat,0.83
Dog_3_test_segment_0219.mat,0.83
Dog_3_test_segment_0220.mat,0.83
Dog_3_test_segment_0221.mat,0.83
Dog_3_test_segment_0222.mat,0.83
Dog_3_test_segment_0223.mat,0.83
Dog_3_test_segment_0224.mat,0.83
Dog_3_test_segment_0225.mat,0.83
Dog_3_test_segment_0226.mat,0.83
Dog_3_test_segment_0227.mat,0.83
Dog_3_test_segment_0228.mat,0.83
Dog_3_test_segment_0229.mat,0.83
Dog_3_test_segment_0230.mat,0.83
Dog_3_test_segment_0231.mat,0.83
Dog_3_test_segment_0232.mat,0.83
Dog_3_test_segment_0233.mat,0.83
Dog_3_test_segment_0234.mat,0.83
Dog_3_test_segment_0235.mat,0.83
Dog_3_test_segment_0236.mat,0.83
Dog_3_test_segment_0237.mat,0.83
Dog_3_test_segment_0238.mat,0.83
Dog_3_test_segment_0239.mat,0.83
Dog_3_test_segment_0240.mat,0.83
Dog_3_test_segment_0241.mat,0.83
Dog_3_test_segment_0242.mat,0.83
Dog_3_test_segment_0243.mat,0.83
Dog_3_test_segment_0244.mat,0.83
Dog_3_test_segment_0245.mat,0.83
Dog_3_test_segment_0246.mat,0.83
Dog_3_test_segment_0247.mat,0.83
Dog_3_test_segment_0248.mat,0.83
Dog_3_test_segment_0249.mat,0.83
Dog_3_test_segment_0250.mat,0.83
Dog_3_test_segment_0251.mat,0.83
Dog_3_test_segment_0252.mat,0.83
Dog_3_test_segment_0253.mat,0.83
Dog_3_test_segment_0254.mat,0.83
Dog_3_test_segment_0255.mat,0.83
Dog_3_test_segment_0256.mat,0.83
Dog_3_test_segment_0257.mat,0.83
Dog_3_test_segment_0258.mat,0.83
Dog_3_test_segment_0259.mat,0.83
Dog_3_test_segment_0260.mat,0.83
Dog_3_test_segment_0261.mat,0.83
Dog_3_test_segment_0262.mat,0.83
Dog_3_test_segment_0263.mat,0.83
Dog_3_test_segment_0264.mat,0.83
Dog_3_test_segment_0265.mat,0.83
Dog_3_test_segment_0266.mat,0.83
Dog_3_test_segment_0267.mat,0.83
Dog_3_test_segment_0268.mat,0.83
Dog_3_test_segment_0269.mat,0.83
Dog_3_test_segment_0270.mat,0.83
Dog_3_test_segment_0271.mat,0.83
Dog_3_test_segment_0272.mat,0.83
Dog_3_test_segment_0273.mat,0.83
Dog_3_test_segment_0274.mat,0.83
Dog_3_test_segment_0275.mat,0.83
Dog_3_test_segment_0276.mat,0.83
Dog_3_test_segment_0277.mat,0.83
Dog_3_test_segment_0278.mat,0.83
Dog_3_test_segment_0279.mat,0.83
Dog_3_test_segment_0280.mat,0.83
Dog_3_test_segment_0281.mat,0.83
Dog_3_test_segment_0282.mat,0.83
Dog_3_test_segment_0283.mat,0.83
Dog_3_test_segment_0284.mat,0.83
Dog_3_test_segment_0285.mat,0.83
Dog_3_test_segment_0286.mat,0.83
Dog_3_test_segment_0287.mat,0.83
Dog_3_test_segment_0288.mat,0.83
Dog_3_test_segment_0289.mat,0.83
Dog_3_test_segment_0290.mat,0.83
Dog_3_test_segment_0291.mat,0.83
Dog_3_test_segment_0292.mat,0.83
Dog_3_test_segment_0293.mat,0.83
Dog_3_test_segment_0294.mat,0.83
Dog_3_test_segment_0295.mat,0.83
Dog_3_test_segment_0296.mat,0.83
Dog_3_test_segment_0297.mat,0.83
Dog_3_test_segment_0298.mat,0.83
Dog_3_test_segment_0299.mat,0.83
Dog_3_test_segment_0300.mat,0.83
Dog_3_test_segment_0301.mat,0.83
Dog_3_test_segment_0302.mat,0.83
Dog_3_test_segment_0303.mat,0.83
Dog_3_test_segment_0304.mat,0.83
Dog_3_test_segment_0305.mat,0.83
Dog_3_test_segment_0306.mat,0.83
Dog_3_test_segment_0307.mat,0.83
Dog_3_test_segment_0308.mat,0.83
Dog_3_test_segment_0309.mat,0.83
Dog_3_test_segment_0310.mat,0.83
Dog_3_test_segment_0311.mat,0.83
Dog_3_test_segment_0312.mat,0.83
Dog_3_test_segment_0313.mat,0.83
Dog_3_test_segment_0314.mat,0.83
Dog_3_test_segment_0315.mat,0.83
Dog_3_test_segment_0316.mat,0.83
Dog_3_test_segment_0317.mat,0.83
Dog_3_test_segment_0318.mat,0.83
Dog_3_test_segment_0319.mat,0.83
Dog_3_test_segment_0320.mat,0.83
Dog_3_test_segment_0321.mat,0.83
Dog_3_test_segment_0322.mat,0.83
Dog_3_test_segment_0323.mat,0.83
Dog_3_test_segment_0324.mat,0.83
Dog_3_test_segment_0325.mat,0.83
Dog_3_test_segment_0326.mat,0.83
Dog_3_test_segment_0327.mat,0.83
Dog_3_test_segment_0328.mat,0.83
Dog_3_test_segment_0329.mat,0.83
Dog_3_test_segment_0330.mat,0.83
Dog_3_test_segment_0331.mat,0.83
Dog_3_test_segment_0332.mat,0.83
Dog_3_test_segment_0333.mat,0.83
Dog_3_test_segment_0334.mat,0.83
Dog_3_test_segment_0335.mat,0.83
Dog_3_test_segment_0336.mat,0.83
Dog_3_test_segment_0337.mat,0.83
Dog_3_test_segment_0338.mat,0.83
Dog_3_test_segment_0339.mat,0.83
Dog_3_test_segment_0340.mat,0.83
Dog_3_test_segment_0341.mat,0.83
Dog_3_test_segment_0342.mat,0.83
Dog_3_test_segment_0343.mat,0.83
Dog_3_test_segment_0344.mat,0.83
Dog_3_test_segment_0345.mat,0.83
Dog_3_test_segment_0346.mat,0.83
Dog_3_test_segment_0347.mat,0.83
Dog_3_test_segment_0348.mat,0.83
Dog_3_test_segment_0349.mat,0.83
Dog_3_test_segment_0350.mat,0.83
Dog_3_test_segment_0351.mat,0.83
Dog_3_test_segment_0352.mat,0.83
Dog_3_test_segment_0353.mat,0.83
Dog_3_test_segment_0354.mat,0.83
Dog_3_test_segment_0355.mat,0.83
Dog_3_test_segment_0356.mat,0.83
Dog_3_test_segment_0357.mat,0.83
Dog_3_test_segment_0358.mat,0.83
Dog_3_test_segment_0359.mat,0.83
Dog_3_test_segment_0360.mat,0.83
Dog_3_test_segment_0361.mat,0.83
Dog_3_test_segment_0362.mat,0.83
Dog_3_test_segment_0363.mat,0.83
Dog_3_test_segment_0364.mat,0.83
Dog_3_test_segment_0365.mat,0.83
Dog_3_test_segment_0366.mat,0.83
Dog_3_test_segment_0367.mat,0.83
Dog_3_test_segment_0368.mat,0.83
Dog_3_test_segment_0369.mat,0.83
Dog_3_test_segment_0370.mat,0.83
Dog_3_test_segment_0371.mat,0.83
Dog_3_test_segment_0372.mat,0.83
Dog_3_test_segment_0373.mat,0.83
Dog_3_test_segment_0374.mat,0.83
Dog_3_test_segment_0375.mat,0.83
Dog_3_test_segment_0376.mat,0.83
Dog_3_test_segment_0377.mat,0.83
Dog_3_test_segment_0378.mat,0.83
Dog_3_test_segment_0379.mat,0.83
Dog_3_test_segment_0380.mat,0.83
Dog_3_test_segment_0381.mat,0.83
Dog_3_test_segment_0382.mat,0.83
Dog_3_test_segment_0383.mat,0.83
Dog_3_test_segment_0384.mat,0.83
Dog_3_test_segment_0385.mat,0.83
Dog_3_test_segment_0386.mat,0.83
Dog_3_test_segment_0387.mat,0.83
Dog_3_test_segment_0388.mat,0.83
Dog_3_test_segment_0389.mat,0.83
Dog_3_test_segment_0390.mat,0.83
Dog_3_test_segment_0391.mat,0.83
Dog_3_test_segment_0392.mat,0.83
Dog_3_test_segment_0393.mat,0.83
Dog_3_test_segment_0394.mat,0.83
Dog_3_test_segment_0395.mat,0.83
Dog_3_test_segment_0396.mat,0.83
Dog_3_test_segment_0397.mat,0.83
Dog_3_test_segment_0398.mat,0.83
Dog_3_test_segment_0399.mat,0.83
Dog_3_test_segment_0400.mat,0.83
Dog_3_test_segment_0401.mat,0.83
Dog_3_test_segment_0402.mat,0.83
Dog_3_test_segment_0403.mat,0.83
Dog_3_test_segment_0404.mat,0.83
Dog_3_test_segment_0405.mat,0.83
Dog_3_test_segment_0406.mat,0.83
Dog_3_test_segment_0407.mat,0.83
Dog_3_test_segment_0408.mat,0.83
Dog_3_test_segment_0409.mat,0.83
Dog_3_test_segment_0410.mat,0.83
Dog_3_test_segment_0411.mat,0.83
Dog_3_test_segment_0412.mat,0.83
Dog_3_test_segment_0413.mat,0.83
Dog_3_test_segment_0414.mat,0.83
Dog_3_test_segment_0415.mat,0.83
Dog_3_test_segment_0416.mat,0.83
Dog_3_test_segment_0417.mat,0.83
Dog_3_test_segment_0418.mat,0.83
Dog_3_test_segment_0419.mat,0.83
Dog_3_test_segment_0420.mat,0.83
Dog_3_test_segment_0421.mat,0.83
Dog_3_test_segment_0422.mat,0.83
Dog_3_test_segment_0423.mat,0.83
Dog_3_test_segment_0424.mat,0.83
